User_ID,Session_ID,Activities,Timestamp,Devices,Region,Channel,Product_Category,Payment_Method,Revenue,Bounce_Flag
USR01000,SES01000,Visit,2026-06-06 18:52:59,Desktop,West,Google Ads,Beauty,Online,0.0,No
USR01000,SES01000,Product View,2026-06-06 18:56:59,Mobile,South,Organic,Electronics,Card,0.0,No
USR00001,SES00001,Visit,2026-06-16 21:52:07,Tablet,West,Organic,Fashion,Credit Card,0.0,Yes
USR00002,SES00002,Visit,2026-06-23 13:01:26,Desktop,West,Email,Sport,Online,0.0,Yes
USR00003,SES00003,Visit,2026-06-04 05:46:48,Mobile,West,Email,Fashion,Card,0.0,Yes
USR00003,SES00003,Product View,2026-06-04 05:52:48,Tablet,South,Organic,Beauty,Credit Card,0.0,Yes
USR00004,SES00004,Visit,2026-05-28 10:33:28,Mobile,Norht,Email,Home,Card,0.0,No
USR00004,SES00004,Product View,2026-05-28 10:39:28,Desktop,East,Friends,Sport,Credit Card,0.0,No
USR00005,SES00005,Visit,2026-06-15 10:18:42,Desktop,South,Social Media,Home,Credit Card,0.0,No
USR00005,SES00005,Product View,2026-06-15 10:21:42,Desktop,East,Google Ads,Beauty,Credit Card,0.0,No
USR00006,SES00006,Visit,2026-06-18 06:02:01,Tablet,South,Social Media,Sport,Card,0.0,Yes
USR00006,SES00006,Product View,2026-06-18 06:06:01,Desktop,East,Organic,Fashion,Credit Card,0.0,Yes
USR00007,SES00007,Visit,2026-06-21 00:29:26,Mobile,East,Social Media,Electronics,Card,0.0,No
USR00007,SES00007,Product View,2026-06-21 00:31:26,Tablet,East,Email,Electronics,Online,0.0,No
USR00007,SES00007,Add To Cart,2026-06-21 00:34:26,Desktop,West,Social Media,Beauty,Credit Card,0.0,No
USR00007,SES00007,Purchase,2026-06-21 00:41:26,Mobile,West,Friends,Electronics,Online,759.11,No
USR00008,SES00008,Visit,2026-06-12 23:08:46,Mobile,East,Organic,Electronics,Credit Card,0.0,Yes
USR00008,SES00008,Product View,2026-06-12 23:10:46,Mobile,West,Friends,Fashion,Card,0.0,Yes
USR00008,SES00008,Add To Cart,2026-06-12 23:12:46,Mobile,West,Social Media,Electronics,Credit Card,0.0,Yes
USR00009,SES00009,Visit,2026-06-22 14:27:14,Tablet,Norht,Friends,Electronics,Online,0.0,No
USR00009,SES00009,Product View,2026-06-22 14:29:14,Desktop,West,Organic,Electronics,Credit Card,0.0,No
USR00009,SES00009,Add To Cart,2026-06-22 14:35:14,Tablet,Norht,Email,Electronics,Card,0.0,No
USR00009,SES00009,Purchase,2026-06-22 14:39:14,Desktop,South,Email,Sport,Online,1604.83,No
USR00010,SES00010,Visit,2026-06-09 11:47:06,Mobile,East,Google Ads,Home,Credit Card,0.0,No
USR00010,SES00010,Product View,2026-06-09 11:51:06,Tablet,West,Organic,Home,Credit Card,0.0,No
USR00011,SES00011,Visit,2026-06-06 10:56:23,Mobile,Norht,Social Media,Fashion,Online,0.0,Yes
USR00012,SES00012,Visit,2026-05-30 18:09:17,Desktop,East,Friends,Home,Credit Card,0.0,No
USR00012,SES00012,Product View,2026-05-30 18:14:17,Mobile,Norht,Email,Fashion,Online,0.0,No
USR00012,SES00012,Add To Cart,2026-05-30 18:19:17,Mobile,Norht,Google Ads,Sport,Card,0.0,No
USR00012,SES00012,Purchase,2026-05-30 18:21:17,Desktop,East,Organic,Beauty,Card,702.6,No
USR00013,SES00013,Visit,2026-06-04 04:07:02,Tablet,East,Organic,Beauty,Card,0.0,Yes
USR00013,SES00013,Product View,2026-06-04 04:10:02,Mobile,West,Email,Electronics,Card,0.0,Yes
USR00014,SES00014,Visit,2026-06-19 10:59:10,Desktop,West,Social Media,Fashion,Online,0.0,No
USR00014,SES00014,Product View,2026-06-19 11:06:10,Mobile,East,Google Ads,Sport,Online,0.0,No
USR00014,SES00014,Add To Cart,2026-06-19 11:09:10,Desktop,East,Google Ads,Electronics,Credit Card,0.0,No
